order_id,order_date,customer_id,state,category,sub_category,product_id,price_per_unit,quantity,sale,seller_id
1,2021-09-02,CS101,Uttarakhand,Office Supplies,Paper,P1,8.23,2,16.45,3
2,2022-08-25,CS102,Chhattisgarh,Office Supplies,Labels,P2,3.93,3,11.78,3
3,2020-09-29,CS103,Haryana,Office Supplies,Storage,P3,90.91,3,272.74,8
4,2020-11-01,CS101,Tamil Nadu,Office Supplies,Binders,P4,1.77,2,3.54,3
5,2023-10-13,CS104,Meghalaya,Office Supplies,Art,P5,6.51,3,19.54,3
6,2020-11-17,CS105,Manipur,Office Supplies,Paper,P6,6.48,3,19.44,8
7,2022-09-05,CS106,Arunachal Pradesh,Office Supplies,Art,P7,4.26,3,12.78,5
8,2022-11-20,CS107,Manipur,Furniture,Chairs,P8,285.98,9,2573.82,10
9,2022-03-13,CS108,Telangana,Office Supplies,Binders,P9,304.99,2,609.98,6
10,2021-09-01,CS109,Uttar Pradesh,Office Supplies,Art,P10,2.74,2,5.48,6
11,2022-01-03,CS110,Madhya Pradesh,Technology,Phones,P11,195.99,2,391.98,8
12,2023-04-19,CS111,Rajasthan,Technology,Phones,P12,188.99,4,755.96,6
13,2023-10-05,CS112,Madhya Pradesh,Office Supplies,Fasteners,P13,7.78,4,31.12,3
14,2022-07-03,CS113,Himachal Pradesh,Office Supplies,Paper,P14,6.54,1,6.54,10
15,2021-07-16,CS114,Punjab,Furniture,Furnishings,P15,25.58,3,76.73,6
16,2022-11-09,CS115,Uttar Pradesh,Office Supplies,Binders,P16,1.49,7,10.43,8
17,2020-02-12,CS116,Kerala,Office Supplies,Art,P17,4.67,2,9.34,6
18,2021-05-03,CS117,Rajasthan,Technology,Accessories,P18,10.4,3,31.2,10
19,2023-11-30,CS118,Nagaland,Office Supplies,Labels,P19,2.89,1,2.89,7
20,2021-06-20,CS119,,Furniture,Furnishings,P20,51.94,1,51.94,10
21,2020-09-19,CS120,Bihar,Furniture,Furnishings,P21,4.97,2,9.94,1
22,2022-11-22,CS121,Jharkhand,Office Supplies,Envelopes,P22,5.68,2,11.36,9
23,2022-05-14,CS122,Telangana,Office Supplies,Envelopes,P23,16.98,3,50.94,10
24,2021-12-03,CS123,Meghalaya,Technology,Accessories,P24,107.79,6,646.74,6
25,2020-12-21,CS124,Maharashtra,Office Supplies,Binders,P25,1.88,3,5.64,10
26,2022-04-23,CS125,Tripura,Office Supplies,Storage,P26,95.43,6,572.58,10
