product_id,product_name,price,cogs
P1,Message Book Wirebound ,8.23,5.45
P2,Avery 508,3.93,2.5
P3,SAFCO Boltless Steel Shel,90.91,112.5
P4,GBC Standard Plastic Bind,1.77,4.52
P5,Avery Hi-Liter EverBold P,6.51,4.89
P6,Xerox 225,6.48,3.37
P7,Dixon Prang Watercolor Pe,4.26,2.51
P8,Global Deluxe High-Back M,285.98,203.05
P9,Ibico Hi-Tech Manual Bind,304.99,167.75
P10,Rogers Handheld Barrel Pe,2.74,2
P11,GE 30524EE4,195.99,139.16
P12,Wireless Extenders zBoost,188.99,137.96
P13,Alliance Super-Size Bands,7.78,7.7
P14,Southworth 25% Cotton Gra,6.54,3.53
P15,Howard Miller 14-1/2 Dia,25.58,43.48
P16,Acco Four Pocket Poly Rin,1.49,4.1
P17,Newell 312,4.67,4.09
P18,Memorex Micro Travel Driv,10.4,7.15
P19,Avery 482,2.89,1.53
P20,Howard Miller 11-1/2 Dia,51.94,30.64
P21,DAX Value U-Channel Docum,4.97,3.43
P22,Staple envelope,5.68,3.01
P23,Brown Kraft Recycled Enve,16.98,8.49
P24,Plantronics S12 Corded Te,107.79,64.67
P25,3-ring staple pack,1.88,0.98
P26,Fellowes Stor/Drawer Stee,95.43,89.71
P27,Global Highback Leather T,90.99,76.43
P28,Tennsco 6- and 18-Compart,265.17,217.44
P29,O Sullivan Elevations Boo,111.33,110.02
P30,4009 Highlighters by Sanf,3.98,2.67
P31,Xerox 1923,5.34,3.47
P32,Avery Metallic Poly Binde,1.72,2.98
P33,Sauder Cornerstone Collec,15.49,28.81
P34,Logitech 910-002974 M325 ,29.99,16.79
P35,DAX Black Cherry Wood-Ton,21.18,16.42
P36,AT&T 841000 Phone,41.4,51.75
P37,GBC Linen Binding Covers,9.3,16.11
P38,Round Specialty Laser Pri,10.02,6.64
P39,Fellowes Mighty 8 Compact,16.22,14.59
P40,GBC Standard Recycled Rep,3.23,5.61
P41,TOPS Carbonless Receipt B,14.02,9.11
P42,Tyvek  Top-Opening Peel &,21.74,14.41
P43,O Sullivan 4-Shelf Bookca,36.29,100.41
P44,Apple iPhone 5C,99.99,73.99
P45,Newell 351,3.28,2.33
P46,Eldon Expressions Desk Ac,9.65,6.76
P47,Newell 327,2.21,1.61
P48,Hon 4700 Series Mobuis Mi,355.98,281.22
P49,Wirebound Service Call Bo,9.68,5.04
P50,Eldon Fold  N Roll Cart S,13.98,9.93
P51,Eldon ClusterMat Chair Ma,90.98,80.97
P52,Acco Pressboard Covers wi,3.81,2.02
P53,Holmes Replacement Filter,61.93,38.54
P54,Fellowes Bases and Tops F,33.29,25.3
P55,Panasonic KP-4ABK Battery,14.64,10.39
P56,Ultra Door Push Plate,4.91,3.29
P57,Storex Dura Pro Binders,5.94,3.27
P58,GBC DocuBind TL200 Manual,67.19,118.71
P59,Ultra Door Pull Handle,8.42,7.05
P60,Xerox 195,6.68,3.47
P61,Alliance Big Bands Rubber,1.98,1.98
P62,GE General Use Halogen Bu,20.94,10.68
P63,SAFCO Commercial Wire She,61.24,61.24
P64,Eureka Recycled Copy Pape,6.48,3.37
P65,REDIFORM Incoming/Outgoin,8.34,4.17
P66,Macally Suction Cup Mount,11.95,11.95
P67,Eldon Image Series Black ,4.14,2.65
